date,transport_type,ridership,year
2021-10-12,ferry,36043.0,2021
2021-10-13,ferry,35278.0,2021
2021-10-14,ferry,37188.0,2021
2021-10-15,ferry,39150.0,2021
2021-10-16,ferry,29500.0,2021
2021-10-17,ferry,25629.0,2021
2021-10-18,ferry,34782.0,2021
2021-10-19,ferry,35202.0,2021
2021-10-20,ferry,35303.0,2021
2021-10-21,ferry,36255.0,2021
2021-10-22,ferry,37611.0,2021
2021-10-23,ferry,28458.0,2021
2021-10-24,ferry,25224.0,2021
2021-10-25,ferry,35944.0,2021
2021-10-26,ferry,26007.0,2021
2021-10-27,ferry,34380.0,2021
2021-10-28,ferry,36793.0,2021
2021-10-29,ferry,35082.0,2021
2021-10-30,ferry,24538.0,2021
2021-10-31,ferry,24788.0,2021
2021-11-01,ferry,35798.0,2021
2021-11-02,ferry,30640.0,2021
2021-11-03,ferry,35109.0,2021
2021-11-04,ferry,34788.0,2021
2021-11-05,ferry,36703.0,2021
2021-11-06,ferry,29704.0,2021
2021-11-07,ferry,40515.0,2021
2021-11-08,ferry,35293.0,2021
2021-11-09,ferry,36035.0,2021
2021-11-10,ferry,36248.0,2021
2021-11-11,ferry,34048.0,2021
2021-11-12,ferry,34606.0,2021
2021-11-13,ferry,27986.0,2021
2021-11-14,ferry,23897.0,2021
2021-11-15,ferry,34368.0,2021
2021-11-16,ferry,35254.0,2021
2021-11-17,ferry,35196.0,2021
2021-11-18,ferry,37466.0,2021
2021-11-19,ferry,37035.0,2021
2021-11-20,ferry,28869.0,2021
2021-11-21,ferry,25268.0,2021
2021-11-22,ferry,36274.0,2021
2021-11-23,ferry,38153.0,2021
2021-11-24,ferry,38945.0,2021
2021-11-25,ferry,27808.0,2021
2021-11-26,ferry,31032.0,2021
2021-11-27,ferry,31297.0,2021
2021-11-28,ferry,21921.0,2021
2021-11-29,ferry,35598.0,2021
2021-11-30,ferry,34464.0,2021
2021-12-01,ferry,36141.0,2021
2021-12-02,ferry,37519.0,2021
2021-12-03,ferry,40227.0,2021
2021-12-04,ferry,33684.0,2021
2021-12-05,ferry,26500.0,2021
2021-12-06,ferry,38546.0,2021
2021-12-07,ferry,38537.0,2021
2021-12-08,ferry,35358.0,2021
2021-12-09,ferry,36876.0,2021
2021-12-10,ferry,39263.0,2021
2021-12-11,ferry,30282.0,2021
2021-12-12,ferry,27193.0,2021
2021-12-13,ferry,36942.0,2021
2021-12-14,ferry,36024.0,2021
2021-12-15,ferry,34933.0,2021
2021-12-16,ferry,36185.0,2021
2021-12-17,ferry,38247.0,2021
2021-12-18,ferry,24414.0,2021
2021-12-19,ferry,26254.0,2021
2021-12-20,ferry,36561.0,2021
2021-12-21,ferry,36350.0,2021
2021-12-22,ferry,34307.0,2021
2021-12-23,ferry,33687.0,2021
2021-12-24,ferry,24164.0,2021
2021-12-25,ferry,20226.0,2021
2021-12-26,ferry,34831.0,2021
2021-12-27,ferry,35585.0,2021
2021-12-28,ferry,40765.0,2021
2021-12-29,ferry,34667.0,2021
2021-12-30,ferry,38134.0,2021
2021-12-31,ferry,27469.0,2021
2022-01-01,ferry,19245.0,2022
2022-01-02,ferry,24425.0,2022
2022-01-03,ferry,26906.0,2022
2022-01-04,ferry,28859.0,2022
2022-01-05,ferry,25374.0,2022
2022-01-06,ferry,28627.0,2022
2022-01-07,ferry,22005.0,2022
2022-01-08,ferry,19695.0,2022
2022-01-09,ferry,13792.0,2022
2022-01-10,ferry,26752.0,2022
2022-01-11,ferry,23869.0,2022
2022-01-12,ferry,26576.0,2022
2022-01-13,ferry,28122.0,2022
2022-01-14,ferry,28542.0,2022
2022-01-15,ferry,17305.0,2022
2022-01-16,ferry,15326.0,2022
2022-01-17,ferry,17567.0,2022
2022-01-18,ferry,27914.0,2022
2022-01-19,ferry,28699.0,2022
2022-01-20,ferry,25670.0,2022
2022-01-21,ferry,27098.0,2022
2022-01-22,ferry,18834.0,2022
2022-01-23,ferry,15711.0,2022
2022-01-24,ferry,28044.0,2022
2022-01-25,ferry,29262.0,2022
2022-01-26,ferry,27833.0,2022
2022-01-27,ferry,28369.0,2022
2022-01-28,ferry,29268.0,2022
2022-01-29,ferry,7308.0,2022
2022-01-30,ferry,13441.0,2022
2022-01-31,ferry,27641.0,2022
2022-02-01,ferry,28688.0,2022
2022-02-02,ferry,30788.0,2022
2022-02-03,ferry,28873.0,2022
2022-02-04,ferry,26727.0,2022
2022-02-05,ferry,21197.0,2022
2022-02-06,ferry,17744.0,2022
2022-02-07,ferry,28941.0,2022
2022-02-08,ferry,32586.0,2022
2022-02-09,ferry,32939.0,2022
2022-02-10,ferry,33809.0,2022
2022-02-11,ferry,33597.0,2022
2022-02-12,ferry,28875.0,2022
2022-02-13,ferry,15012.0,2022
2022-02-14,ferry,32391.0,2022
2022-02-15,ferry,32260.0,2022
2022-02-16,ferry,32640.0,2022
2022-02-17,ferry,34542.0,2022
2022-02-18,ferry,33246.0,2022
2022-02-19,ferry,23431.0,2022
2022-02-20,ferry,23045.0,2022
2022-02-21,ferry,30073.0,2022
2022-02-22,ferry,30709.0,2022
2022-02-23,ferry,37823.0,2022
2022-02-24,ferry,32771.0,2022
2022-02-25,ferry,27822.0,2022
2022-02-26,ferry,25287.0,2022
2022-02-27,ferry,21331.0,2022
2022-02-28,ferry,32871.0,2022
2022-03-01,ferry,33847.0,2022
2022-03-02,ferry,34900.0,2022
2022-03-03,ferry,34343.0,2022
2022-03-04,ferry,34086.0,2022
2022-03-05,ferry,26925.0,2022
2022-03-06,ferry,22623.0,2022
2022-03-07,ferry,35546.0,2022
2022-03-08,ferry,35891.0,2022
2022-03-09,ferry,29907.0,2022
2022-03-10,ferry,37179.0,2022
2022-03-11,ferry,39757.0,2022
2022-03-12,ferry,17678.0,2022
2022-03-13,ferry,17690.0,2022
2022-03-14,ferry,39848.0,2022
2022-03-15,ferry,40158.0,2022
2022-03-16,ferry,41746.0,2022
2022-03-17,ferry,34449.0,2022
2022-03-18,ferry,47125.0,2022
2022-03-19,ferry,29259.0,2022
2022-03-20,ferry,25637.0,2022
2022-03-21,ferry,39174.0,2022
2022-03-22,ferry,39186.0,2022
2022-03-23,ferry,36459.0,2022
2022-03-24,ferry,32448.0,2022
2022-03-25,ferry,41605.0,2022
2022-03-26,ferry,30113.0,2022
2022-03-27,ferry,24161.0,2022
2022-03-28,ferry,33626.0,2022
2022-03-29,ferry,36339.0,2022
2022-03-30,ferry,36239.0,2022
2022-03-31,ferry,36887.0,2022
2022-04-01,ferry,37675.0,2022
2022-04-02,ferry,33557.0,2022
2022-04-03,ferry,19649.0,2022
2022-04-04,ferry,41448.0,2022
2022-04-05,ferry,38825.0,2022
2022-04-06,ferry,34339.0,2022
2022-04-07,ferry,32962.0,2022
2022-04-08,ferry,44403.0,2022
2022-04-09,ferry,32903.0,2022
2022-04-10,ferry,27219.0,2022
2022-04-11,ferry,48543.0,2022
2022-04-12,ferry,45046.0,2022
2022-04-13,ferry,45055.0,2022
2022-04-14,ferry,45792.0,2022
2022-04-15,ferry,48856.0,2022
2022-04-16,ferry,38717.0,2022
2022-04-17,ferry,29452.0,2022
2022-04-18,ferry,39684.0,2022
2022-04-19,ferry,37360.0,2022
2022-04-20,ferry,46620.0,2022
2022-04-21,ferry,40630.0,2022
2022-04-22,ferry,45606.0,2022
2022-04-23,ferry,31444.0,2022
2022-04-24,ferry,26473.0,2022
2022-04-25,ferry,37201.0,2022
2022-04-26,ferry,35899.0,2022
2022-04-27,ferry,38402.0,2022
2022-04-28,ferry,39017.0,2022
2022-04-29,ferry,41161.0,2022
2022-04-30,ferry,35728.0,2022
2022-05-01,ferry,55711.0,2022
2022-05-02,ferry,33738.0,2022
